Hotel Name,Ratings,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46
Park Lane Hotel,8.7,Bar/Lounge,Wireless Internet,Wired Internet,Air Conditioning,24 Electricity,Room Service,Television,Fitness facilities,Laundry,In House Dining,Gym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel Pillars International,,Restaurant,Bar/Lounge,Air Conditioning,Event Hall,24 hours Electricity,Luggage Storage,Television,Security,Wireless Internet,Study Desk,King sized bed,Refrigerator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Point Hotel,7.9,Bar/Lounge,Gift Shop,Wireless Internet,Adequate Parking,Room service 24h,Car rental,Flatscreen TV,Laundry,Swimming Pool,Air Conditioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mucken Sakurai Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Divine Fountain Hotel,6.6,Restaurant,Bar/Lounge,Security,Air Conditioning,24 Electricity,Adequate Parking,Room Service,DSTV,Air Conditioning,Refrigerator,Desk,Television,Toiletries,Security Guard,Room service 24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olympic Hotel,,Restaurant,Bar/Lounge,Air Conditioning,Luggage Storage,24 hours Electricity,Parking Garage,Laundry,Security,snooker board,King sized bed,Bathtub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reston Hotel,8.4,Security,Wireless Internet,24 Electricity,Continental Breakfast,Security Guard,Air Conditioning,CCTV camera,Laundry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ibis Hotel, Lagos, Nigeria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welcome Centre Hotel Multi Purpose Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hi Point Hotels and Suites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Century hotel,,Bar/Lounge,Security,Wired Internet,Air Conditioning,Adequate Parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Savnier Hotel,,Security,Bar/Lounge,Restaurant,24 hours Electricity,Air Conditioning,Laundry,Car Hire,Room Service,Adequate Parking,King sized bed,Television,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEI Hotels and Travels,,Wireless Internet,24 Electricity,Adequate Parking,Security Guard,Airport transportation,Car rental,Laundry,Air Conditioning,Sofa,Flatscreen TV,Bar/Lounge,concierge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New planet Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jomore international Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern bound hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moye Hotel,Shagamu Road,Ikorodu",,Adequate Parking Space,Security,Bar/Lounge,Restaurant,Air Conditioning,24 hours Electricity,Laundry,Room Service,concierge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ikeja Capital City Hotel,3.3,Adequate Parking,Security,24 Electricity,Air Conditioning,Bar/Lounge,Restaurant,Toiletries,Fenced compound,Generator set,Television,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
